CUSTOM_ID;NAME;ALIAS;DESCRIPTION;LOCATION_ADDRESS;MUNICIPALITY;LATITUDE;LONGITUDE;SUBESTACION
1,26E+14;FL;FLANDES 115 KV;S/E FLANDES 115 KV;CARRETERA NACIONAL VIA A ESPIN;FLANDES, TOL;4,276572;-74,818964;FLANDES 
1,26E+14;MI;MIROLINDO 230 KV;S/E MIROLINDO 230 KV;VEREDA APARCO, SALIDA A ROVIRA;IBAGUE, TOL;4,404225;-75,174271;MIROLINDO
1,26E+14;GP;GUAIPA 34.5 KV;S/E GUAIPA 34.5 KV;CARRETERA  COYAIMA CHAPARRAL;ORTEGA, TOL;3,787103;-75,221103;GUAIPA 
1,26E+14;BT;BALNEARIO-TULUNI 34.5 KV;S/E BALNEARIO-TULUNI 34.5 KV;CARRETERA SALIDA A SALDAÑA;CHAPARRAL, TOL;3,648303;-75,482954;BALNEARIO-TULUNI 
1,26E+14;PB;PALOCABILDO 34.5 KV;S/E PALOCABILDO 34.5 KV;BRR VILLA NUEVA;PALO CABILDO, TOL;5,123821;-75,017303;PALOCABILDO 
1,26E+14;PP;PAPAYO 115 KV;S/E PAPAYO 115 KV;ZONA INDUSTRIAL EL PAPAYO;IBAGUE, TOL;4,429871;-75,205302;PAPAYO 
1,26E+14;SJ;SAN JORGE 34.5 KV;S/E SAN JORGE 34.5 KV;CRA 9 CON CLL 19;IBAGUE, TOL;4,446736;-75,232525;SAN JORGE 
1,26E+14;VG;VERGEL 34.5 KV;S/E VERGEL 34.5 KV;BARRIO EL PEDREGAL, AV AMBALA;IBAGUE, TOL;4,446958;-75,186831;VERGEL 
1,26E+14;CY;COYAIMA 34.5 KV;S/E COYAIMA 34.5 KV;CARRETERA SALIDA A CHAPARRAL;COYAIMA, TOL;4,158517;-74,880332;COYAIMA 
1,26E+14;MA;MARIQUITA 115 KV;S/E MARIQUITA 115 KV;VIA NACIONAL SALIDA A HONDA;MARIQUITA, TOL;5,198878;-74,881764;MARIQUITA 
1,26E+14;NE;NUEVA ESPINAL 115 KV;S/E NUEVA ESPINAL 115 KV;SALIDA FLANDES;ESPINAL, TOL;4,158517;-74,880332;NUEVA ESPINAL 
1,26E+14;CBG;CELSIA SOLAR BUGA BUGALAGRANDE (ANDALUCIA) 34.5KV;S/E CELSIA SOLAR BUGA BUGALAGRANDE (ANDALUCIA) 34.5KV;ZABALETAS;ANDALUCIA, VAC;4,147297;-76,187014;CELSIA SOLAR BUGA BUGALAGRANDE (ANDALUCIA)
1,26E+14;CP2;CELSIA SOLAR PALMIRA 2 34.5 KV;S/E CELSIA SOLAR PALMIRA 2 34.5 KV;PALMIRA;PALMIRA, VAC;3,594262;-76,432489;CELSIA SOLAR PALMIRA 2 
1,26E+14;TPM;CONEXION TEMPORAL SOLAR PALMASECA 1 Y 2 34.5 KV;SOLAR PALMASECA 1 Y 2;PALMASECA-PALMIRA;PALMIRA, VAC;3,522257;-76,436355;CONEXION TEMPORAL SOLAR PALMASECA 1 Y 2 
1,26E+14;LCA;LA CABAÑA 34.5KV;S/E LA CABAÑA 34.5KV;PUERTO TEJADA;PUERTO TEJADA, CAU;3,205427;-76,414737;LA CABAÑA
1,26E+14;TRO;CONEXION SOLAR ROVIRA;SOLAR ROVIRA;ROVIRA;ROVIRA, TOL;4,22876;-75,240398;CONEXION SOLAR ROVIRA
1,26E+14;PVO;PUERTO VIEJO 34.5 KV;S/E PUERTO VIEJO 34.5 KV;AMBALEMA;AMBALEMA, TOL;4,79807;-74,829224;PUERTO VIEJO 
1,26E+14;PV1;PORVENIR 34.5 KV;S/E PORVENIR 34.5 KV;VIA CHAPARRAL - RIOBLANCO;RIOBLANCO, TOL;3,58454;-75,59186;PORVENIR 
1,26E+14;ARS;ARRIEROS 34.5 KV;S/E ARRIEROS 34.5 KV;AFUERAS ZONA URBA LIBANO;LIBANO, TOL;4,922668;-75,073642;ARRIEROS 
1,26E+14;CB2;CELSIA SOLAR BUGA 2;S/E CELSIA SOLAR BUGA 2;GUADALAJARA DE BUGA;GUADALAJARA DE BUGA, VAC;3,931905;-76,316134;CELSIA SOLAR BUGA 2
1,26E+14;SAN FELIPE LOS CABALLEROS  34,5 KV;GRANJA SOLAR LOS CABALLEROS  34,5 KV;S/E GRANJA SOLAR LOS CABALLEROS  34,5 KV;S/E SAN FELIPE LOS CABALLEROS  34,5 KV;ARMERO GUAYABAL, TOL;5,104656;-74,894227;GRANJA SOLAR LOS CABALLEROS 
1,26E+14;SAN FELIPE LA MEDINA 34,5 KV;GRANJA SOLAR LA MEDINA 34,5 KV;S/E GRANJA SOLAR LA MEDINA 34,5 KV;S/E GRANJA SOLAR LA MEDINA 34,5 KV;ARMERO GUAYABAL, TOL;5,104649;-74,894068;GRANJA SOLAR LA MEDINA
